ID,POSITION,HEIGHT,WEIGHT,CAREER_STAGE,AGE,SPONSORSHIP_EARNINGS,SHOE_SPONSOR
2572,guard,169,183,rookie,24,1034,yes
2573,center,218,251,mid-career,35,60,no
2574,forward,190,215,rookie,22,1179,no
2575,forward,198,223,veteran,29,362,yes
2576,forward,198,223,veteran,29,362,yes
2577,guard,166,188,rookie,21,1536,yes
2578,guard,172,183,rookie,24,1383,yes
2579,guard,189,199,mid-career,27,385,yes
2580,center,201,244,mid-career,25,1111,yes
2581,forward,184,213,mid-career,32,12,no
2582,forward,198,221,rookie,22,1409,no
2583,center,207,247,veteran,27,1065,no
2584,guard,185,197,mid-career,29,178,yes
2585,guard,169,183,rookie,24,1034,yes
2586,guard,178,193,rookie,21,1078,no
2587,forward,195,221,veteran,25,694,no
2588,guard,185,200,mid-career,31,213,yes
2589,guard,192,200,mid-career,32,427,yes
2590,center,218,251,mid-career,35,60,no
2591,forward,195,221,veteran,25,694,no
2592,guard,166,188,rookie,21,1536,yes
2593,guard,158,184,veteran,29,162,yes
2594,center,196,235,veteran,32,47,no
2595,guard,185,200,mid-career,31,213,yes
2596,guard,185,200,mid-career,31,213,yes
2597,forward,198,221,rookie,22,1409,no
2598,center,218,251,mid-career,35,60,no
2599,forward,197,221,rookie,22,1312,no
2600,forward,198,223,veteran,29,362,yes
2601,forward,198,223,veteran,29,362,yes
2602,forward,192,218,veteran,29,561,yes
2603,guard,182,199,rookie,21,1678,yes
2604,guard,185,207,rookie,23,1497,yes
2605,guard,178,193,rookie,21,1078,no
2606,forward,192,219,rookie,22,1359,no
2607,guard,172,183,rookie,24,1383,yes
2608,forward,190,215,rookie,22,1179,no
2609,guard,185,197,mid-career,29,178,yes
2610,center,206,246,mid-career,29,314,no
2611,forward,205,232,rookie,24,1416,no
2612,forward,197,221,rookie,22,1312,no
2613,forward,184,213,mid-career,32,12,no
2614,guard,169,183,rookie,24,1034,yes
2615,forward,215,232,mid-career,30,434,no
2616,forward,205,232,rookie,24,1416,no
2617,center,207,247,veteran,27,1065,no
2618,forward,205,232,rookie,24,1416,no
2619,guard,185,207,rookie,23,1497,yes
2620,center,201,244,mid-career,25,1111,yes
2621,guard,189,199,mid-career,27,385,yes
2622,forward,192,218,veteran,29,561,yes
2623,forward,198,223,veteran,29,362,yes
2624,guard,192,200,mid-career,32,427,yes
2625,guard,182,199,rookie,21,1678,yes
2626,center,206,246,mid-career,29,314,no
2627,guard,185,207,rookie,23,1497,yes
2628,forward,192,218,veteran,29,561,yes
2629,guard,185,200,mid-career,31,213,yes
2630,forward,184,213,mid-career,32,12,no
2631,guard,192,200,mid-career,32,427,yes
2632,forward,198,221,rookie,22,1409,no
2633,guard,185,200,mid-career,31,213,yes
2634,center,206,246,mid-career,29,314,no
2635,forward,198,223,veteran,29,362,yes
2636,guard,185,197,mid-career,29,178,yes
2637,forward,198,223,veteran,29,362,yes
2638,guard,185,207,rookie,23,1497,yes
2639,forward,198,223,veteran,29,362,yes
2640,guard,158,184,veteran,29,162,yes
2641,guard,158,184,veteran,29,162,yes
2642,guard,178,193,rookie,21,1078,no
2643,guard,185,207,rookie,23,1497,yes
2644,guard,178,193,rookie,21,1078,no
2645,forward,198,221,rookie,22,1409,no
2646,guard,185,197,mid-career,29,178,yes
2647,,185,197,mid-career,29,178,yes
2648,guard,166,188,rookie,21,1536,yes
2649,guard,185,207,rookie,23,1497,yes
2650,center,196,235,veteran,32,47,no
2651,center,207,247,veteran,27,1065,no
2652,guard,192,200,mid-career,32,427,yes
2653,guard,190,207,mid-career,27,648,yes
2654,guard,169,183,rookie,24,1034,yes
2655,center,218,251,mid-career,35,60,no
2656,guard,189,199,mid-career,27,385,yes
2657,forward,198,223,veteran,29,362,yes
2658,guard,192,200,mid-career,32,427,yes
2659,forward,191,218,rookie,19,1855,no
2660,center,207,247,veteran,27,1065,no
2661,forward,192,218,veteran,29,561,yes
2662,forward,190,215,rookie,22,1179,no
2663,forward,197,221,rookie,22,1312,no
2664,guard,166,188,rookie,21,1536,yes
2665,forward,198,223,veteran,29,362,yes
2666,forward,202,220,mid-career,31,542,no
2667,center,196,235,veteran,32,47,no
2668,forward,198,223,veteran,29,362,yes
2669,forward,192,218,veteran,29,561,yes
2670,guard,158,184,veteran,29,162,yes
2671,center,195,235,mid-career,28,481,no
2672,guard,169,183,rookie,24,1034,yes
2673,guard,185,207,rookie,23,1497,yes
2674,forward,205,232,rookie,24,1416,no
2675,guard,192,200,mid-career,32,427,yes
2676,forward,202,220,mid-career,31,542,no
2677,guard,190,207,mid-career,27,648,yes
2678,guard,178,193,rookie,21,1078,no
2679,center,196,235,veteran,32,47,no
2680,center,206,246,mid-career,29,314,no
2681,center,201,244,mid-career,25,1111,yes
2682,center,218,251,mid-career,35,60,no
2683,guard,185,200,mid-career,31,213,yes
2684,guard,190,207,mid-career,27,648,yes
2685,center,207,247,veteran,27,1065,no
2686,guard,185,200,mid-career,31,213,yes
2687,forward,195,221,veteran,25,694,no
2688,guard,178,193,rookie,21,1078,no
2689,guard,185,197,mid-career,29,178,yes
2690,center,206,246,mid-career,29,314,no
2691,guard,190,207,mid-career,27,648,yes
2692,forward,190,215,rookie,22,1179,no
2693,guard,185,207,rookie,23,1497,yes
2694,guard,166,188,rookie,21,1536,yes
2695,guard,192,200,mid-career,32,427,yes
2696,forward,190,215,rookie,22,1179,no
2697,center,201,244,mid-career,25,1111,yes
2698,guard,172,183,rookie,24,1383,yes
2699,guard,192,200,mid-career,32,427,yes
2700,forward,215,232,mid-career,30,434,no
2701,guard,190,207,mid-career,27,648,yes
2702,forward,205,232,rookie,24,1416,no
2703,forward,198,221,rookie,22,1409,no
2704,forward,190,215,rookie,22,1179,no
2705,guard,182,199,rookie,21,1678,yes
2706,guard,190,207,mid-career,27,648,yes
2707,forward,202,220,mid-career,31,542,no
2708,forward,192,218,veteran,29,561,yes
2709,forward,190,215,rookie,22,1179,no
2710,guard,182,199,rookie,21,1678,yes
2711,center,207,247,veteran,27,1065,no
2712,guard,166,188,rookie,21,1536,yes
2713,forward,198,223,veteran,29,362,yes
2714,guard,185,197,mid-career,29,178,yes
2715,forward,184,213,mid-career,32,12,no
2716,guard,185,197,mid-career,29,178,yes
2717,center,218,251,mid-career,35,60,no
2718,forward,192,218,veteran,29,561,yes
2719,forward,190,215,rookie,22,1179,no
2720,forward,190,215,rookie,22,1179,no
2721,forward,191,218,rookie,19,1855,no
2722,center,206,246,mid-career,29,314,no
2723,forward,205,232,rookie,24,1416,no
2724,center,201,244,mid-career,25,1111,yes
2725,guard,190,207,mid-career,27,648,yes
2726,guard,190,207,mid-career,27,648,yes
2727,guard,158,184,veteran,29,162,yes
2728,forward,191,218,rookie,19,1855,no
2729,guard,182,199,rookie,21,1678,yes
2730,guard,185,197,mid-career,29,178,yes
2731,guard,182,199,rookie,21,1678,yes
2732,guard,158,184,veteran,29,162,yes
2733,guard,185,207,rookie,23,1497,yes
2734,center,196,235,veteran,32,47,no
2735,guard,182,199,rookie,21,1678,yes
2736,guard,185,200,mid-career,31,213,yes
2737,guard,169,183,rookie,24,1034,yes
2738,forward,192,219,rookie,22,1359,no
2739,forward,192,218,veteran,29,561,yes
2740,forward,192,218,veteran,29,561,yes
2741,center,195,235,mid-career,28,481,no
2742,forward,215,232,mid-career,30,434,no
2743,guard,169,183,rookie,24,1034,yes
2744,forward,202,220,mid-career,31,542,no
2745,forward,215,232,mid-career,30,434,no
2746,forward,198,223,veteran,29,362,yes
2747,guard,189,199,mid-career,27,385,yes
2748,forward,191,218,rookie,19,1855,no
2749,center,201,244,mid-career,25,1111,yes
2750,forward,198,221,rookie,22,1409,no
2751,center,218,251,mid-career,35,60,no
2752,guard,190,207,mid-career,27,648,yes
2753,guard,166,188,rookie,21,1536,yes
2754,guard,189,199,mid-career,27,385,yes
2755,forward,192,218,veteran,29,561,yes
2756,guard,189,199,mid-career,27,385,yes
2757,guard,185,200,mid-career,31,213,yes
2758,forward,215,232,mid-career,30,434,no
2759,guard,172,183,rookie,24,1383,yes
2760,guard,189,199,mid-career,27,385,yes
2761,forward,202,220,mid-career,31,542,no
2762,guard,172,183,rookie,24,1383,yes
2763,guard,189,199,mid-career,27,385,yes
2764,center,206,246,mid-career,29,314,no
2765,forward,192,219,rookie,22,1359,no
2766,center,218,251,mid-career,35,60,no
2767,center,207,247,veteran,27,1065,no
2768,guard,166,188,rookie,21,1536,yes
2769,guard,169,183,rookie,24,1034,yes
2770,forward,192,219,rookie,22,1359,no
2771,guard,166,188,rookie,21,1536,yes
2772,center,195,235,mid-career,28,481,no
2773,guard,166,188,rookie,21,1536,yes
2774,center,218,251,mid-career,35,60,no
2775,guard,190,207,mid-career,27,648,yes
2776,guard,172,183,rookie,24,1383,yes
2777,guard,189,199,mid-career,27,385,yes
2778,forward,190,215,rookie,22,1179,no
2779,center,195,235,mid-career,28,481,no
2780,guard,172,183,rookie,24,1383,yes
2781,center,206,246,mid-career,29,314,no
2782,forward,192,218,veteran,29,561,yes
2783,guard,178,193,rookie,21,1078,no
2784,center,201,244,mid-career,25,1111,yes
2785,forward,184,213,mid-career,32,12,no
2786,forward,195,221,veteran,25,694,no
2787,guard,185,200,mid-career,31,213,yes
2788,forward,202,220,mid-career,31,542,no
2789,guard,185,197,mid-career,29,178,yes
2790,forward,192,218,veteran,29,561,yes
2791,guard,185,207,rookie,23,1497,yes
2792,forward,191,218,rookie,19,1855,no
2793,forward,195,221,veteran,25,694,no
2794,guard,185,197,mid-career,29,178,yes
2795,forward,202,220,mid-career,31,542,no
2796,center,195,235,mid-career,28,481,no
2797,forward,198,221,rookie,22,1409,no
2798,center,207,247,veteran,27,1065,no
2799,guard,185,200,mid-career,31,213,yes
2800,forward,192,218,veteran,29,561,yes
2801,guard,158,184,veteran,29,162,yes
2802,guard,158,184,veteran,29,162,yes
2803,forward,197,221,rookie,22,1312,no
2804,guard,185,207,rookie,23,1497,yes
2805,guard,166,188,rookie,21,1536,yes
2806,forward,191,218,rookie,19,1855,no
2807,center,206,246,mid-career,29,314,no
2808,forward,197,221,rookie,22,1312,no
2809,guard,182,199,rookie,21,1678,yes
2810,guard,169,183,rookie,24,1034,yes
2811,guard,169,183,rookie,24,1034,yes
2812,forward,205,232,rookie,24,1416,no
2813,center,218,251,mid-career,35,60,no
2814,guard,169,183,rookie,24,1034,yes
2815,guard,189,199,mid-career,27,385,yes
2816,forward,197,221,rookie,22,1312,no
2817,forward,202,220,mid-career,31,542,no
2818,forward,191,218,rookie,19,1855,no
2819,guard,182,199,rookie,21,1678,yes
2820,forward,215,232,mid-career,30,434,no
2821,center,218,251,mid-career,35,60,no
2822,guard,166,188,rookie,21,1536,yes
2823,forward,198,221,rookie,22,1409,no
2824,forward,202,220,mid-career,31,542,no
2825,center,207,247,veteran,27,1065,no
2826,forward,191,218,rookie,19,1855,no
2827,guard,185,200,mid-career,31,213,yes
2828,guard,185,207,rookie,23,1497,yes
2829,forward,198,223,veteran,29,362,yes
2830,center,218,251,mid-career,35,60,no
2831,forward,215,232,mid-career,30,434,no
2832,forward,198,223,veteran,29,362,yes
2833,guard,185,197,mid-career,29,178,yes
2834,guard,185,207,rookie,23,1497,yes
2835,forward,192,219,rookie,22,1359,no
2836,guard,185,197,mid-career,29,178,yes
2837,center,206,246,mid-career,29,314,no
2838,forward,215,232,mid-career,30,434,no
2839,forward,190,215,rookie,22,1179,no
2840,guard,166,188,rookie,21,1536,yes
2841,guard,169,183,rookie,24,1034,yes
2842,guard,190,207,mid-career,27,648,yes
2843,guard,185,207,rookie,23,1497,yes
2844,center,196,235,veteran,32,47,no
2845,center,206,246,mid-career,29,314,no
2846,guard,172,183,rookie,24,1383,yes
2847,forward,202,220,mid-career,31,542,no
2848,forward,190,215,rookie,22,1179,no
2849,center,206,246,mid-career,29,314,no
2850,forward,190,215,rookie,22,1179,no
2851,forward,215,232,mid-career,30,434,no
2852,guard,185,197,mid-career,29,178,yes
2853,forward,202,220,mid-career,31,542,no
2854,forward,198,221,rookie,22,1409,no
2855,guard,185,197,mid-career,29,178,yes
2856,guard,185,200,mid-career,31,213,yes
2857,forward,192,219,rookie,22,1359,no
2858,center,206,246,mid-career,29,314,no
2859,center,195,235,mid-career,28,481,no
2860,guard,185,197,mid-career,29,178,yes
2861,forward,192,219,rookie,22,1359,no
2862,forward,202,220,mid-career,31,542,no
2863,guard,172,183,rookie,24,1383,yes
2864,forward,184,213,mid-career,32,12,no
2865,center,195,235,mid-career,28,481,no
2866,center,218,251,mid-career,35,60,no
2867,guard,169,183,rookie,24,1034,yes
2868,center,207,247,veteran,27,1065,no
2869,forward,192,219,rookie,22,1359,no
2870,forward,215,232,mid-career,30,434,no
2871,forward,202,220,mid-career,31,542,no
2872,guard,192,200,mid-career,32,427,yes
2873,guard,169,183,rookie,24,1034,yes
2874,center,196,235,veteran,32,47,no
2875,center,207,247,veteran,27,1065,no
2876,guard,185,197,mid-career,29,178,yes
2877,forward,198,221,rookie,22,1409,no
2878,forward,197,221,rookie,22,1312,no
2879,guard,182,199,rookie,21,1678,yes
2880,forward,215,232,mid-career,30,434,no
2881,forward,205,232,rookie,24,1416,no
2882,forward,192,219,rookie,22,1359,no
2883,center,201,244,mid-career,25,1111,yes
2884,guard,190,207,mid-career,27,648,yes
2885,center,218,251,mid-career,35,60,no
2886,guard,158,184,veteran,29,162,yes
2887,guard,172,183,rookie,24,1383,yes
2888,forward,192,219,rookie,22,1359,no
2889,forward,191,218,rookie,19,1855,no
2890,guard,185,200,mid-career,31,213,yes
2891,center,201,244,mid-career,25,1111,yes
2892,center,206,246,mid-career,29,314,no
2893,forward,195,221,veteran,25,694,no
2894,guard,185,207,rookie,23,1497,yes
2895,forward,205,232,rookie,24,1416,no
2896,forward,195,221,veteran,25,694,no
2897,guard,172,183,rookie,24,1383,yes
2898,forward,195,221,veteran,25,694,no
2899,guard,178,193,rookie,21,1078,no
2900,guard,158,184,veteran,29,162,yes
2901,forward,205,232,rookie,24,1416,no
2902,center,207,247,veteran,27,1065,no
2903,forward,205,232,rookie,24,1416,no
2904,guard,178,193,rookie,21,1078,no
2905,forward,192,219,rookie,22,1359,no
2906,guard,192,200,mid-career,32,427,yes
2907,forward,192,219,rookie,22,1359,no
2908,forward,184,213,mid-career,32,12,no
2909,forward,195,221,veteran,25,694,no
2910,forward,184,213,mid-career,32,12,no
2911,forward,192,218,veteran,29,561,yes
2912,guard,185,207,rookie,23,1497,yes
2913,guard,178,193,rookie,21,1078,no
2914,guard,172,183,rookie,24,1383,yes
2915,forward,205,232,rookie,24,1416,no
2916,guard,185,197,mid-career,29,178,yes
2917,center,196,235,veteran,32,47,no
2918,guard,172,183,rookie,24,1383,yes
2919,forward,190,215,rookie,22,1179,no
2920,forward,184,213,mid-career,32,12,no
2921,forward,184,213,mid-career,32,12,no
2922,forward,202,220,mid-career,31,542,no
2923,forward,184,213,mid-career,32,12,no
2924,forward,198,221,rookie,22,1409,no
2925,guard,189,199,mid-career,27,385,yes
2926,forward,191,218,rookie,19,1855,no
2927,guard,189,199,mid-career,27,385,yes
2928,guard,185,197,mid-career,29,178,yes
2929,forward,205,232,rookie,24,1416,no
2930,guard,178,193,rookie,21,1078,no
2931,forward,191,218,rookie,19,1855,no
2932,guard,185,200,mid-career,31,213,yes
2933,center,207,247,veteran,27,1065,no
2934,forward,205,232,rookie,24,1416,no
2935,guard,182,199,rookie,21,1678,yes
2936,guard,178,193,rookie,21,1078,no
2937,forward,215,232,mid-career,30,434,no
2938,guard,158,184,veteran,29,162,yes
2939,forward,191,218,rookie,19,1855,no
2940,center,196,235,veteran,32,47,no
2941,forward,198,223,veteran,29,362,yes
2942,forward,192,219,rookie,22,1359,no
2943,guard,190,207,mid-career,27,648,yes
2944,guard,178,193,rookie,21,1078,no
2945,center,195,235,mid-career,28,481,no
2946,forward,192,219,rookie,22,1359,no
2947,forward,198,221,rookie,22,1409,no
2948,forward,195,221,veteran,25,694,no
2949,forward,205,232,rookie,24,1416,no
2950,guard,185,200,mid-career,31,213,yes
2951,guard,190,207,mid-career,27,648,yes
2952,center,195,235,mid-career,28,481,no
2953,forward,192,219,rookie,22,1359,no
2954,forward,205,232,rookie,24,1416,no
2955,forward,192,218,veteran,29,561,yes
2956,forward,190,215,rookie,22,1179,no
2957,guard,190,207,mid-career,27,648,yes
2958,forward,198,223,veteran,29,362,yes
2959,guard,185,197,mid-career,29,178,yes
2960,guard,158,184,veteran,29,162,yes
2961,forward,197,221,rookie,22,1312,no
2962,guard,185,207,rookie,23,1497,yes
2963,center,218,251,mid-career,35,60,no
2964,forward,192,218,veteran,29,561,yes
2965,forward,190,215,rookie,22,1179,no
2966,forward,202,220,mid-career,31,542,no
2967,guard,158,184,veteran,29,162,yes
2968,forward,184,213,mid-career,32,12,no
2969,forward,215,232,mid-career,30,434,no
2970,forward,198,223,veteran,29,362,yes
2971,guard,185,197,mid-career,29,178,yes
2972,forward,197,221,rookie,22,1312,no
2973,forward,198,221,rookie,22,1409,no
2974,forward,195,221,veteran,25,694,no
2975,center,206,246,mid-career,29,314,no
2976,forward,205,232,rookie,24,1416,no
2977,guard,189,199,mid-career,27,385,yes
2978,guard,169,183,rookie,24,1034,yes
2979,guard,172,183,rookie,24,1383,yes
2980,center,207,247,veteran,27,1065,no
2981,guard,185,200,mid-career,31,213,yes
2982,center,201,244,mid-career,25,1111,yes
2983,guard,185,200,mid-career,31,213,yes
2984,center,218,251,mid-career,35,60,no
2985,forward,197,221,rookie,22,1312,no
2986,forward,195,221,veteran,25,694,no
2987,forward,202,220,mid-career,31,542,no
2988,guard,190,207,mid-career,27,648,yes
2989,forward,197,221,rookie,22,1312,no
2990,forward,205,232,rookie,24,1416,no
2991,forward,184,213,mid-career,32,12,no
2992,center,207,247,veteran,27,1065,no
2993,forward,195,221,veteran,25,694,no
2994,guard,189,199,mid-career,27,385,yes
2995,guard,158,184,veteran,29,162,yes
2996,center,206,246,mid-career,29,314,no
2997,forward,195,221,veteran,25,694,no
2998,guard,178,193,rookie,21,1078,no
2999,forward,198,221,rookie,22,1409,no
3000,guard,169,183,rookie,24,1034,yes
3001,center,195,235,mid-career,28,481,no
3002,forward,192,219,rookie,22,1359,no
3003,forward,191,218,rookie,19,1855,no
3004,guard,166,188,rookie,21,1536,yes
3005,forward,205,232,rookie,24,1416,no
3006,forward,195,221,veteran,25,694,no
3007,guard,172,183,rookie,24,1383,yes
3008,guard,169,183,rookie,24,1034,yes
3009,forward,192,219,rookie,22,1359,no
3010,guard,182,199,rookie,21,1678,yes
3011,forward,198,223,veteran,29,362,yes
3012,forward,192,218,veteran,29,561,yes
3013,forward,192,219,rookie,22,1359,no
3014,forward,197,221,rookie,22,1312,no
3015,guard,189,199,mid-career,27,385,yes
3016,guard,182,199,rookie,21,1678,yes
3017,forward,192,218,veteran,29,561,yes
3018,center,196,235,veteran,32,47,no
3019,guard,166,188,rookie,21,1536,yes
3020,guard,189,199,mid-career,27,385,yes
3021,forward,195,221,veteran,25,694,no
3022,forward,192,219,rookie,22,1359,no
3023,guard,172,183,rookie,24,1383,yes
3024,guard,158,184,veteran,29,162,yes
3025,forward,198,221,rookie,22,1409,no
3026,center,218,251,mid-career,35,60,no
3027,forward,198,221,rookie,22,1409,no
3028,forward,198,223,veteran,29,362,yes
3029,guard,185,207,rookie,23,1497,yes
3030,center,196,235,veteran,32,47,no
3031,forward,202,220,mid-career,31,542,no
3032,guard,182,199,rookie,21,1678,yes
3033,guard,166,188,rookie,21,1536,yes
3034,guard,182,199,rookie,21,1678,yes
3035,guard,190,207,mid-career,27,648,yes
3036,forward,197,221,rookie,22,1312,no
3037,forward,184,213,mid-career,32,12,no
3038,guard,185,207,rookie,23,1497,yes
3039,center,207,247,veteran,27,1065,no
3040,forward,191,218,rookie,19,1855,no
3041,forward,197,221,rookie,22,1312,no
3042,forward,184,213,mid-career,32,12,no
3043,guard,166,188,rookie,21,1536,yes
3044,center,218,251,mid-career,35,60,no
3045,forward,190,215,rookie,22,1179,no
3046,guard,185,207,rookie,23,1497,yes
3047,center,218,251,mid-career,35,60,no
3048,guard,166,188,rookie,21,1536,yes
3049,guard,158,184,veteran,29,162,yes
3050,forward,197,221,rookie,22,1312,no
3051,center,218,251,mid-career,35,60,no
3052,forward,190,215,rookie,22,1179,no
3053,center,201,244,mid-career,25,1111,yes
3054,guard,192,200,mid-career,32,427,yes
3055,guard,182,199,rookie,21,1678,yes
3056,forward,184,213,mid-career,32,12,no
3057,guard,185,207,rookie,23,1497,yes
3058,forward,191,218,rookie,19,1855,no
3059,forward,192,219,rookie,22,1359,no
3060,forward,198,223,veteran,29,362,yes
3061,guard,172,183,rookie,24,1383,yes
3062,center,207,247,veteran,27,1065,no
3063,guard,185,197,mid-career,29,178,yes
3064,guard,185,200,mid-career,31,213,yes
3065,forward,190,215,rookie,22,1179,no
3066,forward,215,232,mid-career,30,434,no
3067,forward,205,232,rookie,24,1416,no
3068,center,201,244,mid-career,25,1111,yes
3069,center,201,244,mid-career,25,1111,yes
3070,guard,185,200,mid-career,31,213,yes
3071,forward,190,215,rookie,22,1179,no
3072,forward,215,232,mid-career,30,434,no
3073,guard,185,207,rookie,23,1497,yes
3074,guard,158,184,veteran,29,162,yes
3075,forward,215,232,mid-career,30,434,no
3076,guard,185,207,rookie,23,1497,yes
3077,guard,182,199,rookie,21,1678,yes
3078,guard,192,200,mid-career,32,427,yes
3079,forward,197,221,rookie,22,1312,no
3080,forward,215,232,mid-career,30,434,no
3081,center,201,244,mid-career,25,1111,yes
3082,guard,172,183,rookie,24,1383,yes
3083,forward,190,215,rookie,22,1179,no
3084,forward,198,221,rookie,22,1409,no
3085,center,195,235,mid-career,28,481,no
3086,guard,182,199,rookie,21,1678,yes
3087,forward,184,213,mid-career,32,12,no
3088,forward,198,223,veteran,29,362,yes
3089,guard,192,200,mid-career,32,427,yes
3090,guard,182,199,rookie,21,1678,yes
3091,guard,178,193,rookie,21,1078,no
3092,guard,185,207,rookie,23,1497,yes
3093,forward,192,218,veteran,29,561,yes
3094,guard,185,200,mid-career,31,213,yes
3095,center,201,244,mid-career,25,1111,yes
3096,forward,202,220,mid-career,31,542,no
3097,guard,192,200,mid-career,32,427,yes
3098,guard,166,188,rookie,21,1536,yes
3099,forward,184,213,mid-career,32,12,no
3100,guard,190,207,mid-career,27,648,yes
3101,guard,182,199,rookie,21,1678,yes
3102,forward,195,221,veteran,25,694,no
3103,forward,192,218,veteran,29,561,yes
3104,forward,202,220,mid-career,31,542,no
3105,forward,215,232,mid-career,30,434,no
3106,guard,185,207,rookie,23,1497,yes
3107,guard,166,188,rookie,21,1536,yes
3108,guard,192,200,mid-career,32,427,yes
3109,center,218,251,mid-career,35,60,no
3110,center,207,247,veteran,27,1065,no
3111,guard,169,183,rookie,24,1034,yes
3112,forward,192,219,rookie,22,1359,no
3113,forward,192,218,veteran,29,561,yes
3114,forward,190,215,rookie,22,1179,no
3115,guard,190,207,mid-career,27,648,yes
3116,guard,172,183,rookie,24,1383,yes
3117,center,218,251,mid-career,35,60,no
3118,guard,189,199,mid-career,27,385,yes
3119,forward,202,220,mid-career,31,542,no
3120,center,218,251,mid-career,35,60,no
3121,center,196,235,veteran,32,47,no
3122,guard,185,200,mid-career,31,213,yes
3123,guard,189,199,mid-career,27,385,yes
3124,forward,192,218,veteran,29,561,yes
3125,center,206,246,mid-career,29,314,no
3126,forward,197,221,rookie,22,1312,no
3127,guard,192,200,mid-career,32,427,yes
3128,center,201,244,mid-career,25,1111,yes
3129,forward,190,215,rookie,22,1179,no
3130,forward,191,218,rookie,19,1855,no
3131,forward,192,219,rookie,22,1359,no
3132,guard,190,207,mid-career,27,648,yes
3133,forward,190,215,rookie,22,1179,no
3134,guard,166,188,rookie,21,1536,yes
3135,forward,197,221,rookie,22,1312,no
3136,forward,184,213,mid-career,32,12,no
3137,center,206,246,mid-career,29,314,no
3138,guard,185,197,mid-career,29,178,yes
3139,forward,184,213,mid-career,32,12,no
3140,forward,198,221,rookie,22,1409,no
3141,forward,198,223,veteran,29,362,yes
3142,guard,192,200,mid-career,32,427,yes
3143,forward,205,232,rookie,24,1416,no
3144,guard,185,207,rookie,23,1497,yes
3145,guard,185,197,mid-career,29,178,yes
3146,guard,158,184,veteran,29,162,yes
3147,forward,205,232,rookie,24,1416,no
3148,guard,166,188,rookie,21,1536,yes
3149,guard,190,207,mid-career,27,648,yes
3150,guard,172,183,rookie,24,1383,yes
3151,forward,197,221,rookie,22,1312,no
3152,center,201,244,mid-career,25,1111,yes
3153,guard,178,193,rookie,21,1078,no
3154,forward,205,232,rookie,24,1416,no
3155,center,201,244,mid-career,25,1111,yes
3156,guard,169,183,rookie,24,1034,yes
3157,guard,166,188,,21,1536,yes
3158,forward,197,221,rookie,22,1312,no
3159,forward,215,232,mid-career,30,434,no
3160,forward,195,221,veteran,25,694,no
3161,guard,192,200,mid-career,32,427,yes
3162,guard,169,183,rookie,24,1034,yes
3163,guard,189,199,mid-career,27,385,yes
3164,guard,185,197,mid-career,29,178,yes
3165,forward,202,220,mid-career,31,542,no
3166,forward,197,221,rookie,22,1312,no
3167,center,218,251,mid-career,35,60,no
3168,center,196,235,veteran,32,47,no
3169,center,218,251,mid-career,35,60,no
3170,forward,197,221,rookie,22,1312,no
3171,guard,190,207,mid-career,27,648,yes
3172,guard,169,183,rookie,24,1034,yes
3173,guard,192,200,mid-career,32,427,yes
3174,guard,190,207,mid-career,27,648,yes
3175,forward,205,232,rookie,24,1416,no
3176,guard,185,200,mid-career,31,213,yes
3177,center,218,251,,35,60,no
3178,guard,185,200,mid-career,31,213,yes
3179,center,207,247,veteran,27,1065,no
3180,forward,184,213,mid-career,32,12,no
3181,forward,192,218,veteran,29,561,yes
3182,forward,192,219,rookie,22,1359,no
3183,guard,169,183,rookie,24,1034,yes
3184,forward,192,218,veteran,29,561,yes
3185,guard,169,183,rookie,24,1034,yes
3186,forward,215,232,mid-career,30,434,no
3187,forward,184,213,mid-career,32,12,no
3188,guard,169,183,rookie,24,1034,yes
3189,center,207,247,veteran,27,1065,no
3190,guard,192,200,mid-career,32,427,yes
3191,forward,197,221,rookie,22,1312,no
3192,forward,197,221,rookie,22,1312,no
3193,guard,189,199,mid-career,27,385,yes
3194,guard,166,188,rookie,21,1536,yes
3195,guard,185,200,mid-career,31,213,yes
3196,guard,172,183,rookie,24,1383,yes
3197,forward,202,220,mid-career,31,542,no
3198,center,218,251,mid-career,35,60,no
3199,guard,182,199,rookie,21,1678,yes
3200,forward,202,220,mid-career,31,542,no
3201,center,218,251,mid-career,35,60,no
3202,forward,192,219,rookie,22,1359,no
3203,guard,185,200,mid-career,31,213,yes
3204,guard,185,197,mid-career,29,178,yes
3205,forward,192,219,rookie,22,1359,no
3206,guard,172,183,rookie,24,1383,yes
3207,forward,198,221,rookie,22,1409,no
3208,guard,185,207,rookie,23,1497,yes
3209,forward,198,221,rookie,22,1409,no
3210,guard,172,183,rookie,24,1383,yes
3211,guard,169,183,rookie,24,1034,yes
3212,guard,192,200,mid-career,32,427,yes
3213,guard,190,207,mid-career,27,648,yes
3214,center,207,247,veteran,27,1065,no
3215,forward,198,221,rookie,22,1409,no
3216,guard,166,188,rookie,21,1536,yes
3217,center,207,247,veteran,27,1065,no
3218,center,206,246,mid-career,29,314,no
3219,center,201,244,mid-career,25,1111,yes
3220,center,218,251,mid-career,35,60,no
3221,forward,198,221,rookie,22,1409,no
3222,forward,190,215,rookie,22,1179,no
3223,center,195,235,mid-career,28,481,no
3224,center,195,235,mid-career,28,481,no
3225,forward,198,223,veteran,29,362,yes
3226,center,195,235,mid-career,28,481,no
3227,center,218,251,mid-career,35,60,no
3228,forward,205,232,rookie,24,1416,no
